Date,Open,High,Low,Close,Adj Close,Volume
2017-04-17,3.990810,3.996100,3.982010,3.990400,3.990400,0
2017-04-18,3.989800,3.993300,3.951600,3.988390,3.988390,0
2017-04-19,3.941830,3.975800,3.940970,3.941960,3.941960,0
2017-04-20,3.973500,3.973700,3.955420,3.972180,3.972180,0
2017-04-21,3.979560,4.002560,3.975760,3.978620,3.978620,0
2017-04-24,3.913900,3.932060,3.889300,3.914650,3.914650,0
2017-04-25,3.906120,3.911300,3.857700,3.907400,3.907400,0
2017-04-26,3.862600,3.891810,3.856410,3.861570,3.861570,0
2017-04-27,3.872890,3.892330,3.859600,3.873560,3.873560,0
2017-04-28,3.883800,3.887600,3.852800,3.883860,3.883860,0
2017-05-01,3.872210,3.881900,3.851800,3.872300,3.872300,0
2017-05-02,3.871200,3.872800,3.848100,3.871700,3.871700,0
2017-05-03,3.839050,3.858560,3.833500,3.839000,3.839000,0
2017-05-04,3.860730,3.868090,3.839200,3.861400,3.861400,0
2017-05-05,3.849950,3.855800,3.821800,3.849950,3.849950,0
2017-05-08,3.833050,3.869960,3.810900,3.833510,3.833510,0
2017-05-09,3.871930,3.888500,3.862730,3.872800,3.872800,0
2017-05-10,3.888050,3.889300,3.871200,3.887870,3.887870,0
2017-05-11,3.873430,3.896830,3.864910,3.872680,3.872680,0
2017-05-12,3.887100,3.890100,3.857000,3.888260,3.888260,0
2017-05-15,3.851010,3.856700,3.818000,3.851630,3.851630,0
2017-05-16,3.820300,3.821900,3.779900,3.821900,3.821900,0
2017-05-17,3.758000,3.784200,3.751750,3.758660,3.758660,0
2017-05-18,3.759840,3.804330,3.754440,3.759540,3.759540,0
2017-05-19,3.795600,3.800600,3.749600,3.794510,3.794510,0
2017-05-22,3.740310,3.760010,3.720900,3.740100,3.740100,0
2017-05-23,3.734200,3.753380,3.725100,3.733850,3.733850,0
2017-05-24,3.758120,3.762100,3.727900,3.759310,3.759310,0
2017-05-25,3.716830,3.733380,3.709600,3.716780,3.716780,0
2017-05-26,3.724000,3.748030,3.715660,3.722910,3.722910,0
2017-05-29,3.741600,3.749950,3.727360,3.739300,3.739300,0
2017-05-30,3.752110,3.767500,3.722300,3.752100,3.752100,0
2017-05-31,3.734610,3.739200,3.711900,3.735210,3.735210,0
2017-06-01,3.717640,3.742430,3.712180,3.718000,3.718000,0
2017-06-02,3.738830,3.740490,3.706600,3.738140,3.738140,0
2017-06-05,3.710050,3.732630,3.705340,3.707740,3.707740,0
2017-06-06,3.717550,3.737320,3.711500,3.717510,3.717510,0
2017-06-07,3.721020,3.740530,3.718080,3.721240,3.721240,0
2017-06-08,3.737470,3.750790,3.731960,3.737570,3.737570,0
2017-06-09,3.751330,3.761800,3.736820,3.753150,3.753150,0
2017-06-12,3.735510,3.747200,3.728110,3.736250,3.736250,0
2017-06-13,3.742400,3.746900,3.733080,3.743180,3.743180,0
2017-06-14,3.738760,3.750000,3.712950,3.738500,3.738500,0
2017-06-15,3.741800,3.802900,3.737460,3.742630,3.742630,0
2017-06-16,3.792910,3.797300,3.756190,3.795400,3.795400,0
2017-06-19,3.756330,3.779000,3.752870,3.756900,3.756900,0
2017-06-20,3.785400,3.817210,3.775200,3.784700,3.784700,0
2017-06-21,3.812500,3.821570,3.796630,3.813300,3.813300,0
2017-06-22,3.808400,3.815540,3.792960,3.808910,3.808910,0
2017-06-23,3.795030,3.798200,3.767500,3.795290,3.795290,0
2017-06-26,3.769710,3.776600,3.749200,3.769700,3.769700,0
2017-06-27,3.759100,3.765690,3.724320,3.757080,3.757080,0
2017-06-28,3.736110,3.745340,3.709370,3.737800,3.737800,0
2017-06-29,3.719820,3.729300,3.704380,3.719120,3.719120,0
2017-06-30,3.707500,3.712550,3.694700,3.706750,3.706750,0
2017-07-03,3.700390,3.737200,3.700390,3.701600,3.701600,0
2017-07-04,3.734800,3.745800,3.724130,3.735460,3.735460,0
2017-07-05,3.729600,3.755670,3.726050,3.729700,3.729700,0
2017-07-06,3.728450,3.738300,3.710100,3.727560,3.727560,0
2017-07-07,3.709890,3.724400,3.696540,3.710200,3.710200,0
2017-07-10,3.717200,3.723590,3.705380,3.714690,3.714690,0
2017-07-12,3.693700,3.713360,3.686180,3.692890,3.692890,0
2017-07-13,3.705200,3.719240,3.692700,3.704180,3.704180,0
2017-07-14,3.704000,3.707600,3.664700,3.703450,3.703450,0
2017-07-17,3.665400,3.679060,3.656400,3.665300,3.665300,0
2017-07-18,3.661470,3.662150,3.623000,3.661450,3.661450,0
2017-07-19,3.634850,3.659410,3.633580,3.635060,3.635060,0
2017-07-20,3.647830,3.667900,3.612910,3.649600,3.649600,0
2017-07-21,3.623900,3.659090,3.609210,3.623960,3.623960,0
2017-07-24,3.651000,3.662750,3.634350,3.651810,3.651810,0
2017-07-25,3.661590,3.664900,3.633970,3.662020,3.662020,0
2017-07-26,3.661000,3.668030,3.653130,3.661590,3.661590,0
2017-07-27,3.619320,3.650580,3.609250,3.620320,3.620320,0
2017-07-28,3.633210,3.641200,3.612700,3.633910,3.633910,0
2017-07-31,3.620240,3.630200,3.602190,3.621120,3.621120,0
2017-08-01,3.596250,3.607670,3.591540,3.596780,3.596780,0
2017-08-02,3.603400,3.608700,3.583830,3.602700,3.602700,0
2017-08-03,3.590400,3.597800,3.567900,3.592100,3.592100,0
2017-08-04,3.568500,3.611500,3.566660,3.569600,3.569600,0
2017-08-07,3.602620,3.607600,3.591700,3.603700,3.603700,0
2017-08-08,3.603170,3.634230,3.596700,3.602850,3.602850,0
2017-08-09,3.626790,3.649790,3.623400,3.627330,3.627330,0
2017-08-10,3.627840,3.650000,3.627430,3.628590,3.628590,0
2017-08-11,3.636780,3.650790,3.619860,3.636340,3.636340,0
2017-08-14,3.627750,3.637600,3.619020,3.628380,3.628380,0
2017-08-15,3.638590,3.666310,3.630900,3.639770,3.639770,0
2017-08-16,3.653660,3.659300,3.638060,3.654100,3.654100,0
2017-08-17,3.624600,3.651980,3.618050,3.623830,3.623830,0
2017-08-18,3.643620,3.650000,3.631110,3.645080,3.645080,0
2017-08-21,3.637630,3.644480,3.611200,3.637300,3.637300,0
2017-08-22,3.620570,3.641400,3.616950,3.620120,3.620120,0
2017-08-23,3.632190,3.640500,3.623200,3.631260,3.631260,0
2017-08-24,3.622860,3.636910,3.608400,3.624160,3.624160,0
2017-08-25,3.610760,3.616650,3.577530,3.611120,3.611120,0
2017-08-28,3.557040,3.574600,3.544500,3.556480,3.556480,0
2017-08-29,3.554550,3.556800,3.530020,3.555050,3.555050,0
2017-08-30,3.552700,3.581770,3.548980,3.553040,3.553040,0
2017-08-31,3.576340,3.600450,3.569090,3.576730,3.576730,0
2017-09-01,3.564380,3.586690,3.537780,3.563900,3.563900,0
2017-09-04,3.577850,3.585160,3.555900,3.579300,3.579300,0
2017-09-05,3.564220,3.569460,3.548800,3.564430,3.564430,0
2017-09-06,3.548800,3.567150,3.547550,3.549500,3.549500,0
2017-09-07,3.561600,3.563900,3.526110,3.562000,3.562000,0
2017-09-08,3.530000,3.536960,3.512410,3.529700,3.529700,0
2017-09-11,3.529090,3.552280,3.525360,3.529700,3.529700,0
2017-09-12,3.549800,3.574100,3.546000,3.549700,3.549700,0
2017-09-13,3.554500,3.603300,3.549060,3.555900,3.555900,0
2017-09-14,3.600890,3.617820,3.595300,3.601510,3.601510,0
2017-09-15,3.586800,3.594100,3.562750,3.588660,3.588660,0
2017-09-18,3.581100,3.592700,3.575900,3.582090,3.582090,0
2017-09-19,3.589760,3.590300,3.567700,3.590800,3.590800,0
2017-09-20,3.568500,3.570700,3.557300,3.568570,3.568570,0
2017-09-21,3.603500,3.607100,3.575000,3.602500,3.602500,0
2017-09-22,3.579800,3.580900,3.557950,3.579060,3.579060,0
2017-09-25,3.581200,3.609050,3.574170,3.579000,3.579000,0
2017-09-26,3.603220,3.649400,3.602410,3.603200,3.603200,0
2017-09-27,3.636760,3.682960,3.632160,3.635360,3.635360,0
2017-09-28,3.679900,3.693620,3.649900,3.679850,3.679850,0
2017-09-29,3.663070,3.667260,3.630000,3.662660,3.662660,0
2017-10-02,3.652490,3.680940,3.644730,3.665190,3.665190,0
2017-10-03,3.671260,3.686700,3.659610,3.672060,3.672060,0
2017-10-04,3.672530,3.672900,3.643900,3.671530,3.671530,0
2017-10-05,3.658850,3.677400,3.649000,3.655960,3.655960,0
2017-10-06,3.671480,3.694070,3.671480,3.673240,3.673240,0
2017-10-09,3.671630,3.679400,3.661400,3.670700,3.670700,0
2017-10-10,3.663100,3.663700,3.628700,3.661660,3.661660,0
2017-10-11,3.634410,3.639900,3.600430,3.634260,3.634260,0
2017-10-12,3.597800,3.613600,3.594960,3.597360,3.597360,0
2017-10-13,3.607600,3.608300,3.577270,3.607660,3.607660,0
2017-10-16,3.596260,3.607200,3.579200,3.600000,3.600000,0
2017-10-17,3.589900,3.605900,3.587600,3.588870,3.588870,0
2017-10-18,3.597190,3.604980,3.587800,3.597900,3.597900,0
2017-10-19,3.590300,3.601560,3.570300,3.589660,3.589660,0
2017-10-20,3.572300,3.600570,3.569050,3.572110,3.572110,0
2017-10-23,3.599530,3.608920,3.589360,3.600070,3.600070,0
2017-10-24,3.595850,3.611250,3.590830,3.596400,3.596400,0
2017-10-25,3.609560,3.614100,3.581660,3.610600,3.610600,0
2017-10-26,3.588800,3.635600,3.584160,3.589100,3.589100,0
2017-10-27,3.653930,3.671320,3.648200,3.655100,3.655100,0
2017-10-30,3.658700,3.661100,3.641090,3.658260,3.658260,0
2017-10-31,3.647660,3.656100,3.634800,3.646960,3.646960,0
2017-11-01,3.638200,3.647960,3.633660,3.637900,3.637900,0
2017-11-02,3.639090,3.642260,3.624800,3.639800,3.639800,0
2017-11-03,3.630780,3.660170,3.628360,3.631800,3.631800,0
2017-11-06,3.653050,3.664400,3.650220,3.654000,3.654000,0
2017-11-07,3.649900,3.671300,3.647500,3.649150,3.649150,0
2017-11-08,3.656860,3.664000,3.647300,3.656710,3.656710,0
2017-11-09,3.653700,3.656900,3.630700,3.653010,3.653010,0
2017-11-10,3.632400,3.643060,3.617600,3.632060,3.632060,0
2017-11-13,3.621660,3.640190,3.621600,3.623300,3.623300,0
2017-11-14,3.630500,3.632860,3.604730,3.630300,3.630300,0
2017-11-15,3.602260,3.604500,3.579570,3.602700,3.602700,0
2017-11-17,3.597360,3.599100,3.583360,3.596400,3.596400,0
2017-11-20,3.605500,3.610100,3.587260,3.605800,3.605800,0
2017-11-21,3.602260,3.609780,3.589090,3.604000,3.604000,0
2017-11-22,3.594200,3.594600,3.565750,3.592460,3.592460,0
2017-11-23,3.565300,3.565500,3.547190,3.565500,3.565500,0
2017-11-24,3.550960,3.556000,3.522880,3.550680,3.550680,0
2017-11-27,3.528760,3.534300,3.516200,3.528900,3.528900,0
2017-11-28,3.535260,3.542960,3.528900,3.535600,3.535600,0
2017-11-29,3.546700,3.553550,3.530490,3.546600,3.546600,0
2017-11-30,3.544460,3.560560,3.521100,3.544900,3.544900,0
2017-12-01,3.532700,3.551170,3.523300,3.531700,3.531700,0
2017-12-04,3.547560,3.554070,3.539260,3.546400,3.546400,0
2017-12-05,3.546060,3.561400,3.539500,3.545960,3.545960,0
2017-12-06,3.558400,3.577680,3.551200,3.558360,3.558360,0
2017-12-07,3.568440,3.576800,3.565800,3.568430,3.568430,0
2017-12-08,3.574270,3.584200,3.568260,3.573560,3.573560,0
2017-12-11,3.565500,3.569300,3.557900,3.565700,3.565700,0
2017-12-12,3.567260,3.596660,3.560200,3.565460,3.565460,0
2017-12-13,3.583500,3.593560,3.575810,3.584200,3.584200,0
2017-12-14,3.563760,3.587810,3.559240,3.563800,3.563800,0
2017-12-15,3.586100,3.587100,3.569300,3.586060,3.586060,0
2017-12-18,3.586060,3.587000,3.554400,3.587300,3.587300,0
2017-12-19,3.568450,3.572400,3.547240,3.569300,3.569300,0
2017-12-20,3.548540,3.555200,3.527460,3.549600,3.549600,0
2017-12-21,3.540160,3.544320,3.532500,3.540000,3.540000,0
2017-12-22,3.540760,3.550060,3.532200,3.538960,3.538960,0
2017-12-25,3.536200,3.541200,3.523780,3.531350,3.531350,0
2017-12-26,3.532900,3.545500,3.528000,3.531750,3.531750,0
2017-12-27,3.540500,3.540600,3.514850,3.539310,3.539310,0
2017-12-28,3.520900,3.522000,3.492950,3.519740,3.519740,0
2017-12-29,3.500300,3.500300,3.472300,3.499000,3.499000,0
2018-01-01,3.483600,3.483600,3.473900,3.483500,3.483500,0
2018-01-02,3.477660,3.477860,3.448680,3.474400,3.474400,0
2018-01-03,3.450500,3.471560,3.449070,3.450200,3.450200,0
2018-01-04,3.452720,3.455700,3.436920,3.453900,3.453900,0
2018-01-05,3.436900,3.455400,3.428690,3.436150,3.436150,0
2018-01-08,3.448230,3.485940,3.443910,3.449560,3.449560,0
2018-01-09,3.485160,3.509720,3.482380,3.483730,3.483730,0
2018-01-10,3.512380,3.515000,3.479830,3.513300,3.513300,0
2018-01-11,3.491960,3.498200,3.460470,3.491800,3.491800,0
2018-01-12,3.459700,3.460100,3.427960,3.459600,3.459600,0
2018-01-15,3.419600,3.423600,3.389830,3.419560,3.419560,0
2018-01-16,3.400080,3.425310,3.397100,3.399100,3.399100,0
2018-01-17,3.399500,3.420500,3.385680,3.399400,3.399400,0
2018-01-18,3.419270,3.421100,3.394220,3.418860,3.418860,0
2018-01-19,3.399700,3.414360,3.390650,3.399640,3.399640,0
2018-01-22,3.404200,3.414490,3.398620,3.404230,3.404230,0
2018-01-23,3.399900,3.412860,3.388340,3.399800,3.399800,0
2018-01-24,3.383760,3.389000,3.342760,3.383660,3.383660,0
2018-01-25,3.350470,3.352860,3.307800,3.350640,3.350640,0
2018-01-26,3.342700,3.344400,3.313640,3.342260,3.342260,0
2018-01-29,3.325360,3.358760,3.322910,3.325360,3.325360,0
2018-01-30,3.347670,3.363300,3.326890,3.347560,3.347560,0
2018-01-31,3.349240,3.351140,3.325560,3.350360,3.350360,0
2018-02-01,3.342660,3.351500,3.325460,3.342290,3.342290,0
2018-02-02,3.320540,3.354570,3.318430,3.320260,3.320260,0
2018-02-05,3.348040,3.350400,3.332480,3.348060,3.348060,0
2018-02-06,3.362310,3.384000,3.340240,3.362420,3.362420,0
2018-02-07,3.354860,3.390700,3.348270,3.356800,3.356800,0
2018-02-08,3.399300,3.421900,3.388200,3.399160,3.399160,0
2018-02-09,3.419000,3.431100,3.404530,3.418160,3.418160,0
2018-02-12,3.413040,3.415700,3.396250,3.413140,3.413140,0
2018-02-13,3.387330,3.392100,3.369190,3.387400,3.387400,0
2018-02-14,3.372560,3.404460,3.356510,3.372900,3.372900,0
2018-02-15,3.331260,3.335800,3.318370,3.331000,3.331000,0
2018-02-16,3.322500,3.347260,3.309250,3.323000,3.323000,0
2018-02-19,3.350200,3.352730,3.330610,3.349800,3.349800,0
2018-02-20,3.335400,3.367280,3.331550,3.335200,3.335200,0
2018-02-21,3.362790,3.391000,3.360120,3.362860,3.362860,0
2018-02-22,3.398400,3.412470,3.380660,3.397800,3.397800,0
2018-02-23,3.391760,3.404100,3.384850,3.392400,3.392400,0
2018-02-26,3.395460,3.398000,3.374370,3.394860,3.394860,0
2018-02-27,3.384900,3.417050,3.375400,3.384660,3.384660,0
2018-02-28,3.414400,3.429450,3.408430,3.411810,3.411810,0
2018-03-01,3.423400,3.445670,3.421160,3.425400,3.425400,0
2018-03-02,3.411510,3.422720,3.399900,3.411680,3.411680,0
2018-03-05,3.403100,3.415460,3.393660,3.403900,3.403900,0
2018-03-06,3.393860,3.398710,3.367190,3.394260,3.394260,0
2018-03-07,3.371760,3.401410,3.367960,3.372560,3.372560,0
2018-03-08,3.393660,3.417600,3.376650,3.392440,3.392440,0
2018-03-09,3.414860,3.423760,3.400180,3.414860,3.414860,0
2018-03-12,3.405100,3.418100,3.395090,3.404360,3.404360,0
2018-03-13,3.406050,3.416800,3.393530,3.405860,3.405860,0
2018-03-14,3.396220,3.408960,3.389620,3.397100,3.397100,0
2018-03-15,3.394260,3.419400,3.390900,3.393800,3.393800,0
2018-03-16,3.424600,3.438100,3.416290,3.423500,3.423500,0
2018-03-19,3.435100,3.440800,3.419250,3.435200,3.435200,0
2018-03-20,3.424200,3.448820,3.417870,3.422150,3.422150,0
2018-03-21,3.452850,3.456070,3.443080,3.453100,3.453100,0
2018-03-22,3.421900,3.430010,3.410640,3.421050,3.421050,0
2018-03-23,3.425730,3.434300,3.416580,3.425900,3.425900,0
2018-03-26,3.424600,3.424600,3.387520,3.423260,3.423260,0
2018-03-27,3.389120,3.409760,3.378170,3.389400,3.389400,0
2018-03-28,3.393200,3.409500,3.388480,3.393800,3.393800,0
2018-03-29,3.415930,3.428720,3.408750,3.416150,3.416150,0
2018-03-30,3.417890,3.422900,3.402700,3.418860,3.418860,0
2018-04-02,3.420100,3.426770,3.408200,3.421260,3.421260,0
2018-04-03,3.424600,3.432820,3.409610,3.424000,3.424000,0
2018-04-04,3.415800,3.429380,3.412660,3.414320,3.414320,0
2018-04-05,3.420200,3.436260,3.418630,3.419600,3.419600,0
2018-04-06,3.423700,3.434460,3.415260,3.423500,3.423500,0
2018-04-09,3.419000,3.424060,3.399820,3.419660,3.419660,0
2018-04-10,3.402260,3.409820,3.385820,3.402860,3.402860,0
2018-04-11,3.387600,3.391060,3.378360,3.387060,3.387060,0
2018-04-12,3.381800,3.398600,3.378650,3.382400,3.382400,0
2018-04-13,3.388570,3.393990,3.377900,3.389020,3.389020,0
2018-04-16,3.378100,3.381500,3.353740,3.377640,3.377640,0
2018-04-17,3.352460,3.372830,3.345990,3.352260,3.352260,0
2018-04-18,3.363660,3.376590,3.357300,3.363590,3.363590,0
2018-04-19,3.362060,3.380090,3.359300,3.361460,3.361460,0
2018-04-20,3.373380,3.403190,3.371930,3.372530,3.372530,0
2018-04-23,3.401660,3.440820,3.398630,3.402300,3.402300,0
2018-04-24,3.442000,3.447000,3.435340,3.442050,3.442050,0
2018-04-25,3.438060,3.481660,3.438060,3.438300,3.438300,0
2018-04-26,3.472800,3.495570,3.463800,3.472200,3.472200,0
2018-04-27,3.490660,3.507900,3.478470,3.491600,3.491600,0
2018-04-30,3.470560,3.511200,3.465870,3.470640,3.470640,0
2018-05-01,3.506620,3.569960,3.505750,3.508100,3.508100,0
2018-05-02,3.564660,3.579000,3.535820,3.563290,3.563290,0
2018-05-03,3.571460,3.578350,3.551780,3.573200,3.573200,0
2018-05-04,3.558500,3.575560,3.541390,3.557800,3.557800,0
2018-05-07,3.550900,3.576660,3.542420,3.549660,3.549660,0
2018-05-08,3.569600,3.619070,3.566210,3.569700,3.569700,0
2018-05-09,3.606500,3.632960,3.583470,3.606900,3.606900,0
2018-05-10,3.598300,3.599500,3.549530,3.598900,3.598900,0
2018-05-11,3.568100,3.576860,3.557260,3.566750,3.566750,0
2018-05-14,3.566030,3.568300,3.552290,3.566400,3.566400,0
2018-05-15,3.578630,3.636900,3.577150,3.580100,3.580100,0
2018-05-16,3.636600,3.648460,3.613980,3.636600,3.636600,0
2018-05-17,3.616300,3.646340,3.607300,3.616200,3.616200,0
2018-05-18,3.643360,3.660720,3.624850,3.642900,3.642900,0
2018-05-21,3.655400,3.673360,3.648060,3.654860,3.654860,0
2018-05-22,3.638660,3.647460,3.613610,3.638260,3.638260,0
2018-05-23,3.631560,3.686500,3.631560,3.633060,3.633060,0
2018-05-24,3.673960,3.684070,3.653950,3.673060,3.673060,0
2018-05-25,3.674800,3.705400,3.663090,3.675750,3.675750,0
2018-05-28,3.686700,3.705490,3.666160,3.686300,3.686300,0
2018-05-29,3.697640,3.740300,3.695060,3.698260,3.698260,0
2018-05-30,3.756800,3.765600,3.694630,3.755960,3.755960,0
2018-05-31,3.692600,3.707950,3.670250,3.690900,3.690900,0
2018-06-01,3.690400,3.712660,3.677700,3.689450,3.689450,0
2018-06-04,3.683840,3.684960,3.647770,3.683650,3.683650,0
2018-06-05,3.651060,3.676760,3.644840,3.651000,3.651000,0
2018-06-06,3.648500,3.652200,3.618710,3.649000,3.649000,0
2018-06-07,3.620210,3.621500,3.596700,3.622100,3.622100,0
2018-06-08,3.626400,3.656900,3.619890,3.626300,3.626300,0
2018-06-11,3.629460,3.631100,3.610490,3.630400,3.630400,0
2018-06-12,3.620700,3.633600,3.615450,3.621860,3.621860,0
2018-06-13,3.645100,3.650440,3.625880,3.643350,3.643350,0
2018-06-14,3.622360,3.679560,3.607010,3.622300,3.622300,0
2018-06-15,3.707600,3.714390,3.680940,3.703970,3.703970,0
2018-06-18,3.690310,3.706730,3.688610,3.690460,3.690460,0
2018-06-19,3.700370,3.739880,3.696300,3.699960,3.699960,0
2018-06-20,3.719260,3.735640,3.713550,3.719550,3.719550,0
2018-06-21,3.728400,3.760900,3.718070,3.726760,3.726760,0
2018-06-22,3.730300,3.731700,3.694390,3.730500,3.730500,0
2018-06-25,3.705760,3.725560,3.700300,3.706900,3.706900,0
2018-06-26,3.712300,3.726460,3.703970,3.713900,3.713900,0
2018-06-27,3.724200,3.756200,3.709920,3.722460,3.722460,0
2018-06-28,3.761700,3.782610,3.758600,3.762260,3.762260,0
2018-06-29,3.772100,3.772100,3.733700,3.771660,3.771660,0
2018-07-02,3.736560,3.795670,3.736460,3.736460,3.736460,0
2018-07-03,3.777260,3.786900,3.762290,3.776750,3.776750,0
2018-07-04,3.769330,3.776600,3.755670,3.770500,3.770500,0
2018-07-05,3.759000,3.759800,3.714050,3.757360,3.757360,0
2018-07-06,3.720550,3.729070,3.700930,3.721150,3.721150,0
2018-07-09,3.703500,3.704900,3.658950,3.704500,3.704500,0
2018-07-10,3.665560,3.702300,3.663370,3.665860,3.665860,0
2018-07-11,3.680060,3.703500,3.671830,3.682200,3.682200,0
2018-07-12,3.716460,3.718700,3.689300,3.717160,3.717160,0
2018-07-13,3.704500,3.728000,3.694720,3.704100,3.704100,0
2018-07-16,3.691110,3.693000,3.667870,3.691360,3.691360,0
2018-07-17,3.674560,3.683730,3.660370,3.673400,3.673400,0
2018-07-18,3.684860,3.714870,3.681900,3.685760,3.685760,0
2018-07-19,3.701260,3.741290,3.697760,3.700750,3.700750,0
2018-07-20,3.724060,3.739600,3.681530,3.724060,3.724060,0
2018-07-23,3.678700,3.704420,3.676150,3.678700,3.678700,0
2018-07-24,3.699650,3.717500,3.668220,3.700500,3.700500,0
2018-07-25,3.679400,3.692660,3.669500,3.681560,3.681560,0
2018-07-26,3.659100,3.680800,3.650710,3.660400,3.660400,0
2018-07-27,3.683050,3.696360,3.665540,3.683800,3.683800,0
2018-07-30,3.674900,3.680460,3.643000,3.673760,3.673760,0
2018-07-31,3.645920,3.658420,3.639800,3.646550,3.646550,0
2018-08-01,3.655260,3.667760,3.646200,3.656500,3.656500,0
2018-08-02,3.652800,3.689390,3.651550,3.654400,3.654400,0
2018-08-03,3.691600,3.701680,3.664740,3.691100,3.691100,0
2018-08-06,3.681410,3.708310,3.680380,3.678560,3.678560,0
2018-08-07,3.681910,3.685700,3.662500,3.682360,3.682360,0
2018-08-08,3.668400,3.683430,3.660410,3.668440,3.668440,0
2018-08-09,3.672260,3.700560,3.668000,3.672300,3.672300,0
2018-08-10,3.711620,3.761900,3.707840,3.711960,3.711960,0
2018-08-13,3.768260,3.794160,3.750950,3.767400,3.767400,0
2018-08-14,3.773560,3.794200,3.753160,3.772660,3.772660,0
